District,OperatingExpenditures,County Name,Teachers Attendance Rate 2016-17,Average Teacher Salary,Average Years of Teacher Experience,Lead/Senior Professional Teachers,Average Number of Full Time Teachers,Teacher FTE Who Have At Least a Bachelors,% of Teachers Who Have At Least a Bachelors,Teacher FTE Who Have At Least a Masters,% of Teachers Who Have At Least a Masters,Total # of Core Courses,# of Core Courses Taught by a Properly Certified Teacher,% of Core Courses Taught by a Properly Certified Teacher,# of Core Courses Taught by a Highly Qualified Teacher,% of Core Courses Taught  by a Highly Qualified Teacher,# of Core Courses Taught by Teacher with a Temporary Certificate,% Core Courses w/ Temp Qual Tchr,% of Principals with at least Bachelors,% Principals at least Masters,# of School Counselors,# of School Counselors per 1000 Stdnts,# of School Nurses,# of School Nurses /per 1000 Stdnts,School Psychologist FTE,School Psychologist per 1000 Stdnts,Interpreter FTE,# of Interpreters per 1000 Stdnts,Library / Media Specialist FTE,# of Lib/Media Specialists per 1000 Stdnts,Audiologist FTE,# of Audiologists  per 1000 Stdnts,Physical/Occupational Therapists FTE,# of Physical/Occupational Therapists per 1000 Studnets,# of Social Workers,# of Social Workers per 1000 Stdnts,# of General Education Teachers,General Education Teachers FTE per 1000 Stdnts,# of CTE Teachers,# of CTE Teachers / 1000 Stdnts,# of Special Education Teachers,# of Special Educuaction Teachers per 1000 Stdnts,# of Teacher Aides,# of Teacher Aides per 1000 Stdnts,# of Gifted Intervention Specialists,# of Gifted Teachers / 1000 Stdnts,# of Fine Arts Teachers,# of Fine Arts Teachers per 1000 Stdnts,# of Music Teachers,# of Music Teachers /per1000 Stdnts,# of Physical Education Teachers,# of Phys Ed Teachers per 1000 Stdnts,ESL Teachers,# of ESL Teachers per 1000 Stdnts,# of Adaptive Phys Ed Teachers,# of Adaptive PE Teachers per 1000 Stdnts,# of Speech Language Pathologists,# of Speech Language Pathologists per 1000 Stdnts,% of Teachers  Evaluated as  Ineffective,% of Teachers  Evaluated as  Developing,% of Teachers  Evaluated as Skilled,% of Teachers  Evaluated as  Accomplished,% of Teachers  Evaluations Not Completed,% of Principals Evalulated as  Ineffective,% of Principals Evalulated as Developing,% of Principals Evalulated as Skilled,% of Principals Evalulated as Accomplished,% of Principals Evalulations Not Completed
Gahanna-Jefferson City,86813143.84,Franklin,95.3,66353.0,10.0,5.0,469.0,467.0,99.6,350.0,74.6,2216.0,2203.0,99.4,2203.0,99.4,0.0,0.0,1.0,0.91,11.8,1.56996721,7.37,0.98056426,7.0,0.93133648,0.0,0.0,9.0,1.19743262,0.0,0.0,5.0,0.66524034,3.82,0.50824362,319.77,42.544781,8.13,1.0816808,92.79,12.3455303,55.0,7.31764379,3.7,0.49227785,18.5,2.46138927,18.51,2.46271975,15.01,1.99705151,6.0,0.79828841,1.0,0.13304806,10.8,1.43691914,0.0,0.00408163,0.34693877,0.63673469,0.01224489,0.0,0.0,0.21052631,0.78947368,0.0
Groveport Madison Local,66555206.47,Franklin,93.3,57640.0,9.0,2.0,372.0,370.0,99.5,183.0,49.3,1895.0,1892.0,99.8,1874.0,98.9,0.0,0.0,1.0,0.93,19.0,3.34564579,9.5,1.67282289,9.1,1.60238824,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.23260634,0.0,0.0,242.4,42.6833968,0.0,0.0,95.8,16.8690982,70.0,12.3260634,6.7,1.17978035,16.0,2.81738593,14.0,2.46521269,2.0,0.35217324,6.0,1.05651972,0.88,0.15495622,7.31,1.28719319,0.0,0.01939058,0.40166205,0.56786703,0.01108033,0.0,0.0,0.59090909,0.4090909,0.0
New Albany-Plain Local,55056240.19,Franklin,93.9,71490.0,15.0,14.0,276.0,274.0,99.3,198.0,71.6,1196.0,1195.0,99.9,1195.0,99.9,0.0,0.0,1.0,1.0,8.8,1.88034319,7.93,1.69444562,5.0,1.06837681,0.0,0.0,6.79,1.45085571,0.0,0.0,3.93,0.83974417,0.0,0.0,206.61,44.1474667,0.0,0.0,22.59,4.82692644,5.81,1.24145385,0.0,0.0,12.6,2.69230957,12.85,2.74572841,9.8,2.09401855,2.0,0.42735072,0.0,0.0,5.32,1.13675293,0.0034965,0.0,0.11888111,0.87762237,0.0,0.0,0.0,0.2,0.8,0.0
Reynoldsburg City,66087728.269999996,Franklin,96.0,59462.0,9.0,11.0,328.0,328.0,100.0,213.0,64.7,1470.0,1439.0,97.9,1420.0,96.6,0.0,0.0,1.0,1.0,7.0,1.03376168,5.31,0.78418207,8.0,1.18144192,0.0,0.0,8.67,1.28038768,0.0,0.0,0.5,0.07384012,0.0,0.0,250.63,37.0130985,1.0,0.14768024,50.08,7.39582642,0.0,0.0,3.0,0.44304072,10.0,1.4768024,10.0,1.4768024,5.5,0.81224132,7.0,1.03376168,0.0,0.0,11.4,1.68355473,0.0,0.09116809,0.65242165,0.23931623,0.01709401,0.0,0.0,0.68,0.16,0.16
Hilliard City,183974260.75,Franklin,94.5,75842.0,16.0,30.0,894.0,894.0,100.0,580.0,64.9,4879.0,4859.0,99.6,4693.0,96.2,0.0,0.0,1.0,0.84,31.0,1.98310433,9.5,0.60772552,14.95,0.95636805,0.0,0.0,35.5,2.27097431,0.0,0.0,14.07,0.90007348,0.0,0.0,678.59,43.4101538,9.0,0.57573996,112.23,7.1794774,137.84,8.81777746,13.16,0.84185977,38.53,2.46480677,44.52,2.8479937,34.54,2.20956205,11.0,0.70368218,2.3,0.14713354,14.45,0.9243825,0.0,0.00095969,0.08637236,0.89539347,0.01727447,0.0,0.0,0.0,1.0,0.0
Dublin City,194985705.58999997,Franklin,93.4,77439.0,11.0,43.0,942.0,928.0,98.5,662.0,70.3,5123.0,5031.0,98.2,5021.0,99.8,0.0,0.0,0.79,0.71,44.0,2.90502702,35.3,2.33062395,19.3,1.27425048,0.0,0.0,39.0,2.57491031,0.0,0.0,14.6,0.96394078,2.0,0.13204668,700.5,46.2493506,4.0,0.26409336,97.0,6.40426411,54.0,3.56526043,15.0,0.99035012,36.5,2.40985196,35.0,2.31081694,30.0,1.98070024,31.5,2.07973525,4.9,0.32351437,19.9,1.31386449,0.0,0.00718685,0.40246406,0.59034907,0.0,0.0,0.05714285,0.91428571,0.0,0.02857142
Archbold-Area Local,12259853.98,Fulton,96.5,57840.0,19.0,0.0,79.0,79.0,100.0,59.0,74.6,492.0,491.0,99.8,489.0,99.4,0.0,0.0,1.0,1.0,4.0,3.31601481,0.56,0.46424207,1.0,0.8290037,0.0,0.0,3.0,2.48701111,0.0,0.0,0.0,0.0,0.0,0.0,60.83,50.4282952,0.85,0.70465314,10.58,8.77085918,4.09,3.39062514,0.0,0.0,3.03,2.51188122,3.39,2.81032255,4.02,3.33259488,0.0,0.0,0.0,0.0,1.0,0.8290037,0.0,0.0,0.7625,0.225,0.0125,0.0,0.0,1.0,0.0,0.0
Evergreen Local,14192800.7,Fulton,95.0,54647.0,15.0,1.0,84.0,84.0,100.0,55.0,65.2,404.0,404.0,100.0,404.0,100.0,0.0,0.0,1.0,1.0,3.0,2.53292981,0.0,0.0,1.0,0.84430993,0.0,0.0,2.0,1.68861987,0.0,0.0,0.0,0.0,0.0,0.0,59.03,49.8396156,4.0,3.37723975,11.98,10.114833,8.0,6.7544795,1.0,0.84430993,4.0,3.37723975,4.0,3.37723975,4.05,3.41945524,0.0,0.0,0.0,0.0,1.0,0.84430993,0.0,0.0,0.18987341,0.81012658,0.0,0.0,0.0,0.0,1.0,0.0
Fayette Local,5225381.03,Fulton,91.6,50645.0,20.0,0.0,32.0,32.0,100.0,28.0,87.0,240.0,236.0,98.3,223.0,92.9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,22.5,1.0,1.0,6.1,6.1,3.0,3.0,0.0,0.0,1.03,1.03,2.02,2.02,2.09,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36111111,0.63888888,0.0,0.0,0.0,1.0,0.0,0.0
Pettisville Local,5106391.46,Fulton,96.4,57948.0,39.0,0.0,35.0,35.0,100.0,17.0,47.3,239.0,221.0,92.5,221.0,92.5,0.0,0.0,1.0,1.0,1.99,1.99,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.87,25.87,2.0,2.0,4.08,4.08,3.4,3.4,1.33,1.33,1.03,1.03,2.02,2.02,1.98,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.78125,0.0625,0.0,0.0,0.0,1.0,0.0
Pike-Delta-York Local,12907078.94,Fulton,95.9,55389.0,20.0,0.0,81.0,81.0,100.0,56.0,68.8,444.0,443.0,99.8,442.0,99.5,0.0,0.0,1.0,1.0,8.0,6.34633934,1.0,0.79329241,2.0,1.58658483,0.0,0.0,2.36,1.8721701,0.0,0.0,0.0,0.0,0.0,0.0,59.06,46.8518502,2.6,2.06256028,13.78,10.9315695,12.69,10.0668807,1.0,0.79329241,29.05,23.0451447,5.03,3.99026086,3.14,2.49093819,0.0,0.0,0.0,0.0,1.0,0.79329241,0.0,0.0125,0.325,0.6625,0.0,0.0,0.5,0.0,0.5,0.0
Swanton Local,13387755.010000002,Fulton,95.0,52719.0,14.0,0.0,78.0,78.0,100.0,49.0,63.0,419.0,416.0,99.3,413.0,98.6,0.0,0.0,1.0,0.8,3.0,2.47126133,1.1,0.90612915,0.0,0.0,0.0,0.0,2.38,1.96053399,0.0,0.0,0.0,0.0,0.0,0.0,55.44,45.6689095,0.0,0.0,9.36,7.71033537,0.0,0.0,0.5,0.41187689,3.04,2.50421149,4.02,3.31149019,4.02,3.31149019,0.0,0.0,0.0,0.0,1.0,0.82375378,0.0,0.0,0.38961039,0.61038961,0.0,0.0,0.0,1.0,0.0,0.0
Berkshire Local,13272815.84,Geauga,95.5,57360.0,14.0,1.0,77.0,77.0,99.8,44.0,57.3,410.0,410.0,100.0,410.0,100.0,0.0,0.0,1.0,1.0,4.0,3.30101313,1.0,0.82525328,0.0,0.0,0.0,0.0,2.69,2.21993133,0.0,0.0,0.0,0.0,0.0,0.0,60.25,49.7215103,0.0,0.0,8.48,6.99814784,3.0,2.47575985,1.0,0.82525328,2.5,2.06313321,3.0,2.47575985,3.5,2.88838649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.225,0.725,0.025,0.0,0.0,0.0,1.0,0.0
Cardinal Local,12538094.23,Geauga,95.1,54057.0,14.0,4.0,75.0,75.0,100.0,54.0,71.9,286.0,285.0,99.7,285.0,99.7,0.0,0.0,1.0,1.0,3.0,2.96550647,3.5,3.45975755,1.5,1.48275323,0.0,0.0,1.0,0.98850215,0.0,0.0,0.0,0.0,0.0,0.0,52.0,51.4021122,0.0,0.0,14.05,13.8884553,10.5,10.3792726,1.0,0.98850215,5.0,4.94251079,4.0,3.95400863,3.0,2.96550647,0.0,0.0,0.0,0.0,2.0,1.97700431,0.0,0.0,0.17647058,0.82352941,0.0,0.0,0.0,0.66666666,0.0,0.33333333
Chardon Local,32310551.57,Geauga,96.1,61209.0,15.0,7.0,175.0,175.0,99.8,129.0,73.8,750.0,750.0,100.0,750.0,100.0,0.0,0.0,1.0,1.0,6.5,2.35287056,3.5,1.2669303,3.0,1.08594025,0.0,0.0,7.0,2.5338606,0.0,0.0,2.0,0.72396017,0.0,0.0,122.82,44.4583942,1.0,0.36198008,28.13,10.1824998,23.66,8.56444884,3.0,1.08594025,6.0,2.17188051,5.0,1.80990043,6.0,2.17188051,0.0,0.0,0.0,0.0,3.0,1.08594025,0.0,0.0,0.05988024,0.92215568,0.01796407,0.0,0.0,0.0,1.0,0.0
Kenston Local,35664503.62,Geauga,95.0,69201.0,15.0,0.0,183.0,182.0,99.7,142.0,77.7,803.0,803.0,100.0,803.0,100.0,0.0,0.0,1.0,1.0,7.0,2.5923447,3.16,1.17025846,0.0,0.0,0.0,0.0,4.48,1.65910061,0.0,0.0,0.0,0.0,0.0,0.0,129.22,47.8546832,2.0,0.74066991,36.8,13.6283264,0.0,0.0,3.0,1.11100487,8.33,3.08489019,7.0,2.5923447,11.34,4.19959842,0.0,0.0,0.0,0.0,2.68,0.99249768,0.0,0.0,0.13953488,0.86046511,0.0,0.0,0.0,0.0,0.88888888,0.11111111
Newbury Local,6614933.1899999995,Geauga,95.9,52285.0,8.0,0.0,35.0,35.0,100.0,18.0,51.5,138.0,136.0,98.6,136.0,98.6,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.93,30.93,0.0,0.0,0.05,0.05,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.375,0.625,0.0,0.0,0.0,0.5,0.5,0.0
West Geauga Local,24605818.98,Geauga,95.5,69937.0,11.0,1.0,112.0,112.0,100.0,84.0,75.6,532.0,532.0,100.0,532.0,100.0,0.0,0.0,1.0,1.0,5.0,2.78307201,3.0,1.6698432,2.0,1.1132288,0.0,0.0,4.0,2.22645761,0.0,0.0,1.0,0.5566144,0.0,0.0,87.35,48.6202681,0.0,0.0,14.35,7.98741668,19.5,10.8539808,1.0,0.5566144,5.0,2.78307201,3.6,2.00381185,4.5,2.50476481,0.0,0.0,0.0,0.0,3.0,1.6698432,0.0,0.0,0.27272727,0.72727272,0.0,0.0,0.0,0.0,1.0,0.0
Beavercreek City,88662431.96000001,Greene,94.5,67149.0,14.0,5.0,446.0,446.0,100.0,339.0,76.0,1856.0,1856.0,100.0,1852.0,99.8,0.0,0.0,1.0,1.0,20.0,2.59327853,11.97,1.5520772,6.33,0.82077265,0.0,0.0,12.02,1.55856039,0.0,0.0,0.0,0.0,0.0,0.0,306.03,39.6810515,0.0,0.0,100.05,12.9728758,6.25,0.81039954,4.0,0.5186557,18.0,2.33395068,14.5,1.88012693,15.02,1.94755218,5.0,0.64831963,0.0,0.0,8.0,1.03731141,0.0,0.0044843,0.09192825,0.90358744,0.0,0.0,0.13333333,0.26666666,0.6,0.0
Cedar Cliff Local,5852650.29,Greene,95.6,51009.0,16.0,0.0,40.0,40.0,100.0,27.0,67.0,212.0,212.0,100.0,212.0,100.0,0.0,0.0,1.0,1.0,3.62,3.62,1.0,1.0,0.75,0.75,0.0,0.0,2.04,2.04,0.0,0.0,0.0,0.0,0.0,0.0,31.36,31.36,0.0,0.0,5.26,5.26,1.26,1.26,0.0,0.0,2.02,2.02,2.0,2.0,2.02,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,0.0
Greeneview Local,12754446.93,Greene,95.5,51846.0,15.0,1.0,79.0,79.0,100.0,48.0,59.8,424.0,424.0,100.0,424.0,100.0,0.0,0.0,1.0,1.0,3.0,2.4057558,2.19388859,1.75932007,1.0,0.8019186,0.0,0.0,3.0,2.4057558,0.0,0.0,0.0,0.0,0.0,0.0,61.74,49.5104543,0.0,0.0,11.71,9.3904668,20.74,16.6317917,1.0,0.8019186,19.5,15.6374127,3.0,2.4057558,5.0,4.00959299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.5625,0.0,0.0,0.0,0.0,0.0,1.0
Bellbrook-Sugarcreek Local,27753787.32,Greene,95.8,65809.0,19.0,5.0,142.0,142.0,100.0,110.0,77.0,679.0,679.0,100.0,679.0,100.0,0.0,0.0,1.0,1.0,7.13,2.81262962,3.13,1.23471679,1.66,0.65483382,0.0,0.0,3.72,1.46745893,0.0,0.0,0.0,0.0,0.0,0.0,109.24,43.0927994,1.21,0.47731863,17.2,6.78502517,21.04,8.29982149,5.85,2.30769751,6.5,2.56410835,6.71,2.64694877,7.48,2.95069699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816,0.95918367,0.02040816,0.0,0.0,0.0,1.0,0.0
Rolling Hills Local,17396819.62,Guernsey,93.5,50945.0,10.0,0.0,110.0,110.0,100.0,70.0,63.3,535.0,535.0,100.0,535.0,100.0,0.0,0.0,1.0,1.0,3.0,1.8965422,1.0,0.63218073,0.0,0.0,0.0,0.0,1.0,0.63218073,0.0,0.0,0.0,0.0,0.0,0.0,84.33,53.3118014,6.0,3.79308441,13.0,8.21834956,0.0,0.0,0.0,0.0,4.0,2.52872294,4.0,2.52872294,8.0,5.05744588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00943396,0.29245283,0.6981132,0.0,0.0,0.0,0.42857142,0.57142857,0.0
Finneytown Local,17727441.89,Hamilton,94.8,63246.0,14.0,1.0,97.0,97.0,100.0,65.0,67.4,443.0,423.0,95.5,414.0,93.5,0.0,0.0,1.0,1.0,4.8,3.44415522,1.0,0.71753233,2.0,1.43506467,0.0,0.0,4.18,2.99928517,0.0,0.0,0.0,0.0,2.0,1.43506467,71.14,51.0452505,0.0,0.0,18.28,13.1164911,37.17,26.670677,1.0,0.71753233,5.0,3.58766169,6.56,4.70701214,5.0,3.58766169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47169811,0.50943396,0.01886792,0.0,0.0,0.5,0.5,0.0
Forest Hills Local,77546448.35,Hamilton,95.6,68991.0,16.0,2.0,423.0,423.0,100.0,334.0,78.9,1977.0,1964.0,99.3,1964.0,99.3,0.0,0.0,1.0,1.0,15.0,2.12180774,14.07,1.99025566,10.0,1.41453849,0.0,0.0,9.0,1.27308464,0.0,0.0,1.0,0.14145385,0.0,0.0,318.96,45.1181199,2.0,0.2829077,42.5,6.01178861,77.86,11.0135967,7.0,0.99017694,19.5,2.75835007,20.25,2.86444045,16.0,2.26326159,1.0,0.14145385,0.0,0.0,3.0,0.42436154,0.0,0.0,0.0625,0.9375,0.0,0.0,0.0,0.125,0.875,0.0
Northwest Local,83985453.25,Hamilton,94.6,56083.0,14.0,1.0,493.0,493.0,100.0,327.0,66.4,2218.0,2212.0,99.7,2212.0,99.7,0.0,0.0,1.0,1.0,16.0,1.97039906,16.18,1.99256605,1.0,0.12314994,0.0,0.0,12.97,1.59725474,0.0,0.0,0.0,0.0,3.0,0.36944982,361.95,44.5741214,0.0,0.0,87.88,10.8224168,22.76,2.80289267,8.4,1.03445951,14.0,1.72409918,19.6,2.41373886,19.02,2.34231189,0.0,0.0,0.0,0.0,0.0,0.0,0.00572519,0.16603053,0.54961832,0.27862595,0.0,0.0,0.09677419,0.74193548,0.03225806,0.12903225
Northwest Local,83985453.25,Scioto,94.8,58130.0,15.0,1.0,103.0,103.0,100.0,69.0,66.8,360.0,360.0,100.0,360.0,100.0,0.0,0.0,1.0,1.0,4.0,2.94134281,3.0,2.20600711,0.0,0.0,0.0,0.0,1.0,0.7353357,0.0,0.0,0.0,0.0,0.0,0.0,79.0,58.0915205,1.0,0.7353357,16.88,12.4124666,8.0,5.88268562,1.0,0.7353357,3.0,2.20600711,4.0,2.94134281,3.0,2.20600711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47474747,0.51515151,0.01010101,0.0,0.0,1.0,0.0,0.0
Northwest Local,83985453.25,Stark,95.2,56296.0,16.0,0.0,108.0,108.0,100.0,78.0,71.6,411.0,396.0,96.4,396.0,96.4,0.0,0.0,1.0,1.0,5.0,2.68569294,0.0,0.0,2.0,1.07427717,0.0,0.0,0.87,0.46731057,0.0,0.0,0.0,0.0,0.6,0.32228315,78.83,42.3426349,1.0,0.53713858,12.64,6.78943176,0.0,0.0,1.0,0.53713858,5.0,2.68569294,5.67,3.04557579,3.5,1.87998506,0.0,0.0,0.0,0.0,1.21,0.64993769,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.2,0.8,0.0
Oak Hills Local,74085659.54,Hamilton,93.5,65756.0,11.0,10.0,445.0,445.0,100.0,287.0,64.4,2419.0,2413.0,99.8,2413.0,99.8,0.0,0.0,1.0,0.9,9.8,1.322964,2.0,0.26999265,20.0,2.69992653,0.0,0.0,8.6,1.16096841,0.0,0.0,13.6,1.83595004,0.0,0.0,325.0,43.8738062,0.0,0.0,44.58,6.01813624,74.9,10.1112248,2.0,0.26999265,19.0,2.5649302,19.0,2.5649302,18.0,2.42993388,0.0,0.0,0.0,0.0,12.0,1.61995592,0.0,0.01587301,0.12471655,0.85260771,0.00680272,0.0,0.0,0.3,0.7,0.0
Southwest Local,33051154.880000003,Hamilton,96.4,67574.0,17.0,1.0,188.0,185.0,98.4,134.0,71.6,836.0,817.0,97.7,788.0,94.3,0.0,0.0,1.0,1.0,7.0,2.02387938,2.0,0.57825125,0.0,0.0,0.0,0.0,3.41,0.98591838,0.0,0.0,0.0,0.0,0.0,0.0,141.36,40.8707985,0.0,0.0,9.0,2.60213064,41.14,11.8946282,2.0,0.57825125,6.6,1.90822913,6.17,1.78390511,6.74,1.94870672,0.0,0.0,0.0,0.0,1.03,0.29779939,0.0,0.00561797,0.20786516,0.78089887,0.00561797,0.0,0.0,0.5,0.5,0.0
Three Rivers Local,19724089.200000003,Hamilton,96.7,59086.0,14.0,0.0,114.0,114.0,100.0,56.0,48.9,743.0,743.0,100.0,728.0,99.8,0.0,0.0,1.0,1.0,3.0,1.48331239,5.17808226,2.56023787,2.6,1.28553741,2.0,0.98887493,1.88,0.92954243,0.0,0.0,1.0,0.49443746,0.0,0.0,82.5,40.7910909,0.0,0.0,24.0,11.8664991,30.9166437,15.286347,1.0,0.49443746,6.0,2.96662479,4.0,1.97774986,4.0,1.97774986,0.0,0.0,0.0,0.0,3.41,1.68603176,0.0,0.0,0.62068965,0.37068965,0.00862069,0.0,0.0,1.0,0.0,0.0
Arcadia Local,6091180.76,Hancock,96.3,51900.0,16.0,0.0,38.0,38.0,100.0,23.0,59.9,171.0,171.0,100.0,171.0,100.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.27,30.27,3.0,3.0,2.35,2.35,2.0,2.0,0.0,0.0,1.5,1.5,3.01,3.01,2.02,2.02,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02631578,0.31578947,0.65789473,0.0,0.0,0.0,0.0,1.0,0.0
Arlington Local,5607949.35,Hancock,97.2,48398.0,18.0,0.0,45.0,45.0,100.0,29.0,64.9,214.0,212.0,99.1,208.0,97.2,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.77,33.77,1.0,1.0,7.68,7.68,5.03,5.03,0.0,0.0,1.01,1.01,2.01,2.01,2.89,2.89,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.29545454,0.70454545,0.0,0.0,0.0,0.5,0.5,0.0
Cory-Rawson Local,7120696.49,Hancock,94.2,53818.0,16.0,0.0,44.0,44.0,100.0,35.0,78.6,243.0,242.0,99.6,242.0,99.6,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,31.33,31.33,2.0,2.0,7.94,7.94,6.0,6.0,0.0,0.0,1.47,1.47,2.0,2.0,2.02,2.02,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.02222222,0.33333333,0.64444444,0.0,0.0,0.0,0.5,0.5,0.0
Liberty-Benton Local,12397825.84,Hancock,97.2,54783.0,15.0,2.0,88.0,88.0,100.0,53.0,60.5,438.0,436.0,99.5,436.0,99.5,0.0,0.0,1.0,1.0,2.0,1.49800647,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.49800647,0.0,0.0,0.0,0.0,0.0,0.0,64.01,47.9436971,2.0,1.49800647,14.36,10.7556864,13.0,9.73704206,0.0,0.0,4.29,3.21322388,4.4,3.29561423,3.02,2.26198977,0.0,0.0,0.09,0.06741029,0.0,0.0,0.0,0.01098901,0.37362637,0.61538461,0.0,0.0,0.0,0.2,0.8,0.0
McComb Local,7491441.129999999,Hancock,95.5,48651.0,16.0,0.0,53.0,53.0,100.0,31.0,59.3,239.0,239.0,100.0,239.0,100.0,0.0,0.0,1.0,1.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.87,0.0,0.0,0.0,0.0,0.0,0.0,38.71,38.71,2.0,2.0,7.43,7.43,3.49,3.49,0.0,0.0,1.01,1.01,2.01,2.01,4.02,4.02,0.62,0.62,0.07,0.07,0.0,0.0,0.0,0.06521739,0.69565217,0.23913043,0.0,0.0,0.0,0.5,0.5,0.0
Van Buren Local,11846439.59,Hancock,96.7,54317.0,15.0,1.0,69.0,68.0,98.6,50.0,72.3,363.0,363.0,100.0,356.0,98.1,0.0,0.0,1.0,1.0,2.15,2.06661666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96121705,0.0,0.0,0.0,0.0,0.0,0.0,56.06,53.8858281,1.02,0.98044139,8.0,7.68973644,7.0,6.72851938,1.0,0.96121705,3.05,2.93171201,3.02,2.9028755,3.01,2.89326333,0.38,0.36526248,0.27,0.2595286,0.0,0.0,0.0,0.0,0.26086956,0.73913043,0.0,0.0,0.0,0.0,1.0,0.0
Vanlue Local,2601854.4699999997,Hancock,97.9,40801.0,13.0,0.0,20.0,19.0,95.0,13.0,63.8,98.0,97.0,99.0,97.0,99.9,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.01,0.01,2.3,2.3,0.0,0.0,0.0,0.0,1.01,1.01,1.0,1.0,1.01,1.01,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.14285714,0.52380952,0.33333333,0.0,0.0,0.0,1.0,0.0,0.0
Hardin Northern Local,5125235.04,Hardin,94.9,44595.0,12.0,0.0,38.0,38.0,100.0,16.0,41.5,182.0,169.0,92.9,168.0,92.3,0.0,0.0,1.0,0.67,0.65,0.65,0.75,0.75,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,25.52,25.52,4.5,4.5,4.11,4.11,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555,0.55555555,0.38888888,0.0,0.0,0.0,0.5,0.5,0.0
Ridgemont Local,5679082.88,Hardin,95.6,40333.0,10.0,0.0,47.0,45.0,95.7,18.0,38.0,134.0,134.0,100.0,134.0,100.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.88,31.88,2.0,2.0,5.15,5.15,4.0,4.0,0.75,0.75,4.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333,0.63888888,0.27777777,0.0,0.0,0.0,0.0,1.0,0.0
Riverdale Local,10205199.280000001,Hancock,94.0,46715.0,14.0,0.0,72.0,72.0,100.0,41.0,57.7,447.0,429.0,96.0,429.0,99.6,0.0,0.0,1.0,1.0,3.36,3.36,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.33,50.33,3.38,3.38,12.74,12.74,9.0,9.0,1.0,1.0,2.01,2.01,3.44,3.44,3.02,3.02,0.0,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.26760563,0.70422535,0.02816901,0.0,0.0,0.0,1.0,0.0
