District,OperatingExpenditures,County,Address,Superintendent,Prepared for Success Component Grade,Prepared for Success Percent,Number of Students Earning 1 Point,Number of Students Earning Bonus (0.3) Point,Honors Diploma Percent,Percent ACT/SAT Remediation Free,Percent Earning Industry Recognized Credentials,Percent Scoring 3+ on AP Test,Percent Scoring 4+ on IB Test,Percent Earning 3+ Dual Enrollment Credits
Youngstown City,92708071.37,Mahoning,"Youngstown, OH, 44501-0550",Joseph S. Meranto,F,6.0,35,20,2.6,2.8,0.9,0.1,0.0,15.7
Zanesville City,40468716.32,Muskingum,"Zanesville, OH, 43701-5533",Charles D. Baker,F,23.5,82,62,11.4,14.5,2.3,0.0,0.0,29.0
Ada Exempted Village,8611488.35,Hardin,"Ada, OH, 45810-1176",Meri C. Skilliter,C,46.3,49,42,22.6,30.8,2.3,9.0,0.0,50.4
Amherst Exempted Village,36131426.05,Lorain,"Amherst, OH, 44001-1605",Steven A. Sayers,D,42.0,258,87,22.0,30.6,3.8,9.8,0.0,6.5
Barnesville Exempted Village,12769652.32,Belmont,"Barnesville, OH, 43713-1069",Angela J. Hannahs,D,25.4,42,14,14.8,22.0,0.5,0.0,0.0,14.3
Bluffton Exempted Village,9997176.33,Allen,"Bluffton, OH, 45817-1218",Gregory J. Denecker,C,47.7,68,37,19.9,36.7,4.2,0.0,0.0,25.3
Bradford Exempted Village,5771113.27,Miami,"Bradford, OH, 45308-8605",Joseph E. Hurst,D,42.3,30,24,10.2,17.0,20.5,0.0,0.0,67.0
Bridgeport Exempted Village,7875401.630000001,Belmont,"Bridgeport, OH, 43912-1528",Zachary E. Shutler,F,14.8,17,4,6.5,9.8,0.0,0.0,0.0,4.1
Harrison Hills City,16429792.059999999,Harrison,"Cadiz, OH, 43907-1067",Dana L. Snider,F,17.4,41,11,8.7,10.2,2.0,6.7,0.0,0.0
Caldwell Exempted Village,9078127.05,Noble,"Caldwell, OH, 43724-1175",Kacey R. Cottrill,D,30.6,31,13,8.8,15.8,10.5,0.0,0.0,34.2
Carey Exempted Village Schools,8745306.51,Wyandot,"Carey, OH, 43316-1282",Michael A. Wank,D,36.0,40,30,23.5,16.9,2.2,0.0,0.0,27.2
Carrollton Exempted Village,21591214.92,Carroll,"Carrollton, OH, 44615-1236",David P. Quattrochi,D,29.6,103,41,9.3,22.4,3.1,5.1,0.0,11.1
Chagrin Falls Exempted Village,26816036.26,Cuyahoga,"Chagrin Falls, OH, 44022-2924",Robert W. Hunt,A,95.2,246,192,48.0,74.9,0.6,60.8,0.0,8.5
Chesapeake Union Exempted Village,12640231.969999999,Lawrence,"Chesapeake, OH, 45619-7032",Jerry L. McConnell,D,26.7,48,17,2.5,17.6,6.5,1.0,0.0,13.1
Clyde-Green Springs Exempted Village,21473355.1,Sandusky,"Clyde, OH, 43410-1633",Dennis M. Haft,D,41.1,105,68,13.1,20.7,9.8,0.0,0.0,42.6
Coldwater Exempted Village,13819483.07,Mercer,"Coldwater, OH, 45828-1242",Jason E. Wood,C,59.8,111,27,34.2,52.8,1.5,12.1,0.0,2.5
Columbiana Exempted Village,9642834.84,Columbiana,"Columbiana, OH, 44408-9499",Donald J. Mook,C,47.4,61,35,14.6,37.1,2.6,16.6,0.0,20.5
Covington Exempted Village,8774730.28,Miami,"Covington, OH, 45318-1760",CHARLES E. GOODING,C,51.3,53,20,25.2,36.5,8.7,7.0,0.0,20.0
Crestline Exempted Village,7510934.4,Crawford,"Crestline, OH, 44827-1360",Noreen L. Mullens,F,20.8,20,6,1.9,11.4,8.6,0.0,0.0,8.6
Crooksville Exempted Village,12156796.68,Perry,"Crooksville, OH, 43731-1013",Matthew L. Sheridan,D,25.3,39,28,9.6,15.0,4.8,0.0,0.0,33.7
Fairport Harbor Exempted Village,7314863.92,Lake,"Fairport Harbor, OH, 44077-5741",Domenic A. Paolo,F,9.3,10,0,5.6,0.0,3.7,0.0,0.0,0.0
Georgetown Exempted Village,9838482.52,Brown,"Georgetown, OH, 45121-8440",Christopher J. Burrows,D,26.5,33,28,12.2,16.7,2.6,3.8,0.0,32.1
Gibsonburg Exempted Village,9108646.87,Sandusky,"Gibsonburg, OH, 43431-1264",Timothy W. Murray,D,37.6,65,0,20.2,24.3,8.7,0.0,0.0,0.0
Granville Exempted Village,30669782.759999998,Licking,"Granville, OH, 43023-0417",Jeffrey R. Brown,A,90.0,308,197,41.7,74.3,0.7,45.1,0.0,15.2
Greenfield Exempted Village,22892189.95,Highland,"Greenfield, OH, 45123-1373",James J. Wills,F,19.3,53,6,14.1,12.0,0.7,0.0,0.0,4.2
Hicksville Exempted Village,10213400.33,Defiance,"Hicksville, OH, 43526-1258",Keith L. Countryman,D,37.0,39,13,21.6,28.4,4.3,8.6,0.0,6.0
Hubbard Exempted Village,17628835.5,Trumbull,"Hubbard, OH, 44425-1724",Raymond W. Soloman,D,40.9,126,71,16.1,26.9,5.3,11.9,0.0,18.3
Indian Hill Exempted Village,33852866.73,Hamilton,"Cincinnati, OH, 45243-2737",Mark T. Miles,A,93.4,224,209,55.0,55.4,0.7,75.6,0.0,1.0
Leetonia Exempted Village,7644059.16,Columbiana,"Leetonia, OH, 44431-1075",Robert A. Mehno,D,28.4,28,7,16.0,14.2,6.6,0.0,0.0,13.2
Lisbon Exempted Village,8896988.559999999,Columbiana,"Lisbon, OH, 44432-1145",Joseph E. Siefke,D,28.7,41,8,15.2,14.6,7.9,0.7,0.0,4.6
Loudonville-Perrysville Exempted Village,12107931.99,Ashland,"Loudonville, OH, 44842-1245",Catherine M. Puster,D,35.7,54,33,14.5,26.8,2.8,0.0,1.7,31.8
Marysville Exempted Village,50102900.72,Union,"Marysville, OH, 43040-2105",Diane M. Mankins,C,50.8,345,208,20.2,36.7,4.4,21.1,0.0,23.2
Mechanicsburg Exempted Village,7856087.74,Champaign,"Mechanicsburg, OH, 43044-1071",Danielle M. Prohaska,D,44.0,53,30,29.8,26.2,0.0,0.7,0.0,31.2
Mentor Exempted Village,95728079.41,Lake,"Mentor, OH, 44060-4109",William M. Porter,C,48.2,518,343,21.0,38.2,1.3,22.2,0.0,16.9
Milford Exempted Village,64682973.28,Clermont,"Milford, OH, 45150-1607",Nancy C. House,C,61.5,468,360,28.5,45.1,3.8,37.3,0.0,28.4
Milton-Union Exempted Village,13530543.51,Miami,"West Milton, OH, 45383-9602",Brad M. Ritchey,D,33.5,61,48,15.1,21.3,4.9,2.7,0.0,43.1
Montpelier Exempted Village,9813529.18,Williams,"Montpelier, OH, 43543-0193",Jamison J. Grime,D,29.4,39,17,14.0,12.0,6.0,6.0,0.0,9.3
Mount Gilead Exempted Village,12351178.44,Morrow,"Mount Gilead, OH, 43338-1266",Jeffrey D. Thompson,D,32.2,42,24,15.7,20.3,3.3,0.0,0.0,45.1
Newcomerstown Exempted Village,11971580.39,Tuscarawas,"Newcomerstown, OH, 43832-1450",Jeffery S. Staggs,D,31.5,45,18,15.0,16.3,8.1,3.1,0.0,11.9
New Richmond Exempted Village,25417315.11,Clermont,"New Richmond, OH, 45157-1373",Adam C. Bird,C,45.7,135,70,22.3,27.6,7.0,12.3,0.0,16.7
Newton Falls Exempted Village,10743849.85,Trumbull,"Newton Falls, OH, 44444-9707",Paul J. Woodard,D,42.9,69,19,17.8,28.2,9.2,0.0,0.0,11.5
Paulding Exempted Village,15799933.420000002,Paulding,"Paulding, OH, 45879-1251",Kenneth D. Amstutz,D,28.9,51,7,12.5,19.6,7.1,3.8,0.0,0.0
Perrysburg Exempted Village,51289758.58,Wood,"Perrysburg, OH, 43551-2261",Thomas L. Hosler,C,63.9,385,243,27.8,51.0,1.8,27.5,0.0,25.2
Rittman Exempted Village,9909259.74,Wayne,"Rittman, OH, 44270-1259",James J. Ritchie,D,28.2,30,22,2.3,22.3,1.5,0.0,0.0,21.5
Rossford Exempted Village,21216095.85,Wood,"Rossford, OH, 43460-1317",Daniel Creps,D,31.4,64,46,15.7,16.9,5.2,11.7,0.0,26.6
Tipp City Exempted Village,22644741.06,Miami,"Tipp City, OH, 45371-1139",Gretta H. Kumpf,B,71.2,228,165,25.4,53.8,3.8,23.6,0.0,43.8
Upper Sandusky Exempted Village,16674926.15,Wyandot,"Upper Sandusky, OH, 43351-1032",Laurie C. Vent,D,37.9,83,48,13.2,20.6,10.5,0.0,0.0,31.1
Versailles Exempted Village,12811160.399999999,Darke,"Versailles, OH, 45380-0313",Aaron M. Moran,B,71.5,123,95,36.3,50.5,5.7,9.4,0.0,56.6
Wauseon Exempted Village,17763614.29,Fulton,"Wauseon, OH, 43567-1350",Larry C. Brown,D,41.1,105,60,6.0,31.1,4.0,8.0,0.0,20.4
Wellington Exempted Village,11802332.559999999,Lorain,"Wellington, OH, 44090-1072",Edward J. Weber,F,24.6,57,2,5.6,20.1,5.1,0.0,0.0,1.7
Windham Exempted Village,8341963.2700000005,Portage,"Windham, OH, 44288-1004",Gregory C. Isler,D,25.8,26,8,10.9,10.9,7.3,4.5,0.0,7.3
Yellow Springs Exempted Village,8190648.710000001,Greene,"Yellow Springs, OH, 45387-1805",Mario Basora,B,71.4,59,46,40.2,51.0,3.9,5.9,0.0,57.8
Allen East Local,9679050.23,Allen,"Harrod, OH, 45850",Mel L. Rentschler,D,33.6,53,27,17.0,26.4,2.2,0.0,0.0,24.7
Bath Local,15644494.059999999,Allen,"Lima, OH, 45801-2246",Richard D. Dackin,D,35.6,95,0,16.5,28.1,6.4,0.0,0.0,0.0
Elida Local,20892191.23,Allen,"Elida, OH, 45807-9593",Joel W. Mengerink,D,27.1,88,31,8.9,21.7,2.5,5.3,0.0,6.7
Perry Local,8460114.76,Allen,"Lima, OH, 45806-9743",Alison R. Van Gorder,F,23.8,24,0,16.8,13.9,4.0,0.0,0.0,0.0
Perry Local,8460114.76,Lake,"Perry, OH, 44081-9413",Jack K. Thompson,C,58.2,145,103,37.4,40.1,1.7,28.5,0.0,25.8
Perry Local,8460114.76,Stark,"Massillon, OH, 44646-3447",Scott A. Beatty,D,43.2,275,209,13.4,25.6,9.9,15.0,0.1,34.7
Shawnee Local,24377065.79,Allen,"Lima, OH, 45806-1434",James D. Kanable,C,50.7,156,90,18.0,40.7,3.0,18.3,0.0,17.7
Spencerville Local,9457309.96,Allen,"Spencerville, OH, 45887-1293",Dennis A. Fuge,C,51.3,48,35,18.4,34.2,7.9,0.0,0.0,45.6
Hillsdale Local,9678060.52,Ashland,"Jeromesville, OH, 44840-9754",Steven E. Dickerson,D,31.8,37,25,8.6,24.3,0.7,0.0,5.7,18.6
Mapleton Local,8196294.01,Ashland,"Ashland, OH, 44805-9571",Rodney G. Hopton,D,28.0,37,14,10.9,19.0,2.7,0.0,0.0,15.0
Buckeye Local,16523238.2,Ashtabula,"Ashtabula, OH, 44004-5967",Patrick E. Colucci,F,21.8,65,19,4.6,18.8,0.6,7.1,0.0,0.6
Buckeye Local,16523238.2,Jefferson,"Dillonvale, OH, 43917-7904",Kimberly D. Leonard,D,28.1,73,43,15.7,13.4,4.2,0.0,0.0,22.2
Buckeye Local,16523238.2,Medina,"Medina, OH, 44256-9411",Kent J. Morgan,C,53.4,168,70,16.4,36.2,12.7,6.8,0.0,17.8
Grand Valley Local,12062597.68,Ashtabula,"Orwell, OH, 44076-9420",William R. Nye,D,31.0,45,32,12.5,18.8,4.0,4.0,0.0,33.5
Jefferson Area Local,13882130.91,Ashtabula,"Jefferson, OH, 44047-1328",John C. Montanaro,D,26.1,61,44,8.8,20.4,0.7,10.2,0.0,19.0
Pymatuning Valley Local,13354545.27,Ashtabula,"Andover, OH, 44003-1180",Michael A. Candela,F,23.1,41,22,4.4,18.9,0.5,9.2,0.0,9.2
Alexander Local,15946950.690000001,Athens,"Albany, OH, 45710-9492",Lindy L. Douglas,D,31.7,69,38,13.4,22.8,2.8,7.9,0.0,21.7
Federal Hocking Local,12677841.17,Athens,"Stewart, OH, 45778-0117",George H. Wood,F,17.5,24,0,9.5,6.6,5.1,0.0,0.0,0.0
Trimble Local,11351502.46,Athens,"Glouster, OH, 45732-9335",Scott L. Christman,F,20.3,22,14,10.9,10.9,4.7,0.0,0.0,31.0
Minster Local,8199506.6899999995,Auglaize,"Minster, OH, 45865-1095",Brenda A. Boeke,B,85.0,91,79,32.6,65.9,0.7,42.2,0.0,67.4
New Bremen Local,8337537.99,Auglaize,"New Bremen, OH, 45869-9685",Jason A. Schrader,C,50.3,61,23,24.4,43.7,0.0,16.3,0.0,3.7
New Knoxville Local,4490945.51,Auglaize,"New Knoxville, OH, 45871-0476",Kimberly S. Waterman,D,38.0,23,7,19.7,33.3,3.0,7.6,0.0,9.1
Waynesfield-Goshen Local,6325682.8100000005,Auglaize,"Waynesfield, OH, 45896-9448",J. Chris Pfister,D,37.4,33,22,9.4,22.6,8.5,0.0,0.0,50.0
St Clairsville-Richland City,15229477.399999999,Belmont,"Saint Clairsville, OH, 43950-1567",Walter E. Skaggs,D,44.5,99,35,30.9,32.5,0.4,6.9,0.0,15.0
Shadyside Local,6550784.37,Belmont,"Shadyside, OH, 43947-1319",John M. Haswell,F,20.7,25,0,9.1,18.2,0.8,0.0,0.0,0.0
Union Local,13926269.52,Belmont,"Belmont, OH, 43718-9568",Robert B. Porter,F,17.9,41,14,4.0,15.1,1.2,0.0,0.0,9.9
Eastern Local,13303896.850000001,Brown,"Winchester, OH, 45697-9690",Michele R. Filon,F,23.2,38,21,5.8,17.3,2.6,1.0,0.0,17.8
Eastern Local,13303896.850000001,Meigs,"Reedsville, OH, 45772-9022",Steven P. Ohlinger,F,24.9,20,9,14.3,17.6,2.2,0.0,0.0,15.4
Eastern Local,13303896.850000001,Pike,"Beaver, OH, 45613-9435",Neil E. Leist,F,24.0,29,1,4.1,13.9,9.0,0.8,0.0,0.0
Fayetteville-Perry Local,7981026.82,Brown,"Fayetteville, OH, 45118-8461",James J. Brady,D,29.1,36,8,11.4,24.2,1.5,1.5,0.0,12.1
Western Brown Local,26852820.22,Brown,"Mount Orab, OH, 45154-8262",Raegan L. White,F,23.5,90,61,6.7,16.3,2.4,0.0,0.0,26.5
Ripley-Union-Lewis-Huntington Local,9711928.51,Brown,"Ripley, OH, 45167-0085",James L. Wilkins II,D,25.3,35,25,8.9,14.9,3.0,0.0,0.0,41.1
Edgewood City,35544299.22,Butler,"Trenton, OH, 45067-7612",Simon R. Fussnecker Jr,D,34.3,159,90,13.3,20.5,6.1,11.4,0.0,19.7
Fairfield City,81140854.28,Butler,"Fairfield, OH, 45014-1900",Billy J. Smith,D,41.2,523,275,24.1,28.0,3.2,10.9,0.0,16.7
Lakota Local,163436569.07,Butler,"Liberty Township, OH, 45011-9726",Matthew J. Miller,C,58.8,1274,596,22.1,50.2,0.7,23.4,0.0,4.2
Lakota Local,163436569.07,Sandusky,"Kansas, OH, 44841-9617",Chad D. Coffman,D,36.1,49,10,14.6,19.4,11.1,0.0,0.0,12.5
Madison Local,14443828.69,Butler,"Middletown, OH, 45042-1525",Charles C. Philpot,D,42.2,97,28,18.8,29.2,8.8,0.0,0.0,14.0
Madison Local,14443828.69,Lake,"Madison, OH, 44057-2122",Angela M. Smith,D,33.6,150,84,17.4,21.5,3.4,12.3,0.0,10.2
Madison Local,14443828.69,Richland,"Mansfield, OH, 44905-2742",Shelley L. Hilderbrand,D,37.7,154,39,10.9,15.9,18.5,0.7,0.0,12.3
New Miami Local,9156774.290000001,Butler,"Hamilton, OH, 45011-5748",Rhonda J. Parker,F,19.6,22,0,0.0,4.5,15.2,0.0,0.0,0.0
Ross Local,24021363.59,Butler,"Hamilton, OH, 45013-9535",Scott M. Gates,C,45.7,163,130,16.3,32.1,3.6,23.3,0.0,38.2
Talawanda City,34030554.22,Butler,"Oxford, OH, 45056-2619",Kelly L. Spivey,D,39.9,187,53,18.5,32.0,2.9,10.0,0.0,2.4
Brown Local,6577502.84,Carroll,"Malvern, OH, 44644-9467",Scott M. Bowling,D,37.8,34,9,17.5,19.6,10.3,0.0,0.0,13.4
Graham Local,17276351.82,Champaign,"Saint Paris, OH, 43072-9496",Kirk Koennecke,D,34.3,97,28,16.3,24.4,4.2,2.9,0.0,12.1
Triad Local,8215554.710000001,Champaign,"North Lewisburg, OH, 43060-9617",Christopher M. Piper,D,34.1,38,20,3.1,25.6,3.9,0.0,0.0,20.2
West Liberty-Salem Local,12820074.39,Champaign,"West Liberty, OH, 43357-9663",Kraig E. Hissong,C,56.2,84,63,22.4,39.9,4.4,0.0,0.0,49.7
Greenon Local,14734048.67,Clark,"Enon, OH, 45323-1759",Bradley K. Silvus,D,41.9,100,34,29.7,25.9,3.8,10.3,0.0,4.9
Tecumseh Local,29689654.43,Clark,"New Carlisle, OH, 45344-9290",Norm W. Glismann,D,27.5,132,33,5.2,21.1,3.7,5.0,0.0,3.5
Northeastern Local,29984145.08,Clark,"Springfield, OH, 45502-8826",John P. Kronour,D,39.7,213,102,17.1,26.2,6.2,1.3,0.0,22.0
Northeastern Local,29984145.08,Defiance,"Defiance, OH, 43512-9121",James C. Roach,D,43.3,59,27,26.5,31.6,1.9,17.4,0.0,1.9
Northwestern Local,16372726.76,Clark,"Springfield, OH, 45502-9032",Jesse D. Steiner,D,36.0,84,56,16.1,21.4,6.1,3.2,0.0,31.1
Northwestern Local,16372726.76,Wayne,"West Salem, OH, 44287-9707",Jeffrey N. Layton,C,45.1,70,49,18.6,31.4,3.2,0.0,0.0,33.5
Southeastern Local,8620286.03,Clark,"South Charleston, OH, 45368-9602",David M. Shea,D,34.5,34,12,6.4,23.9,8.3,0.9,0.0,16.5
Southeastern Local,8620286.03,Ross,"Chillicothe, OH, 45601-8213",Brian Justice,D,41.5,75,6,24.3,16.8,12.4,2.7,0.0,0.5
Clark-Shawnee Local,19642330.62,Clark,"Springfield, OH, 45502-6310",Gregg E. Morris,C,47.1,137,118,14.2,30.9,5.2,8.2,0.0,54.6
Batavia Local,19256718.18,Clermont,"Batavia, OH, 45103-1990",Keith D. Millard,D,32.7,79,54,12.7,22.7,3.1,13.4,0.0,21.6
Bethel-Tate Local,13057675.36,Clermont,"Bethel, OH, 45106",Melissa A. Kircher,C,45.5,89,37,12.3,29.1,13.2,3.6,0.0,21.4
Clermont Northeastern Local,16514671.309999999,Clermont,"Batavia, OH, 45103-8532",Joseph M. Brandt,D,28.7,61,35,7.6,17.3,6.4,10.0,0.0,21.3
Felicity-Franklin Local,9699108.68,Clermont,"Felicity, OH, 45120-0619",David R. Gibson,D,27.4,40,9,7.7,8.3,14.7,0.6,0.0,8.3
Goshen Local,29139872.97,Clermont,"Goshen, OH, 45122-9273",Darrell Edwards,D,28.3,87,51,10.5,17.7,4.1,12.7,0.0,20.7
West Clermont Local,68598512.14,Clermont,"Cincinnati, OH, 45245-1505",Keith Kline,D,31.5,346,127,12.4,22.9,3.6,7.6,2.9,4.9
Williamsburg Local,8619263.469999999,Clermont,"Williamsburg, OH, 45176-1110",Matthew D. Earley,D,35.1,46,29,7.7,23.7,5.8,4.5,0.0,23.1
Blanchester Local,15959542.969999999,Clinton,"Blanchester, OH, 45107-7846",Dean D. Lynch,D,28.2,79,11,13.4,21.2,4.1,3.1,0.0,2.4
Clinton-Massie Local,15731397.84,Clinton,"Clarksville, OH, 45113-8201",Matthew P. Baker,C,48.7,102,82,17.7,35.4,3.5,0.0,0.0,44.2
East Clinton Local,12976352.11,Clinton,"Sabina, OH, 45169-9521",Eric B. Magee,D,30.2,53,41,14.4,19.4,2.3,9.3,0.0,35.2
Beaver Local,18114846.21,Columbiana,"East Liverpool, OH, 43920-8774",Eric N. Lowe,D,39.6,99,51,9.0,26.0,8.3,8.3,0.0,24.6
Crestview Local,12340109.81,Columbiana,"Columbiana, OH, 44408-9660",Matthew T. Manley,C,47.6,72,39,20.5,30.1,8.5,17.6,0.0,10.2
Crestview Local,12340109.81,Richland,"Ashland, OH, 44805-9262",Larry R. Dunlap,D,35.7,56,11,10.2,26.5,6.6,0.0,0.0,12.0
Crestview Local,12340109.81,Van Wert,"Convoy, OH, 45832-8864",Michael Y. Estes,C,46.4,55,21,7.6,35.6,6.1,14.4,0.0,4.5
Southern Local,11171991.41,Columbiana,"Salineville, OH, 43945-9726",John S. Wilson,C,56.8,71,19,46.7,3.7,10.4,0.0,0.0,15.6
Southern Local,11171991.41,Meigs,"Racine, OH, 45771-8902",Anthony W. Deem,F,24.6,26,5,17.0,16.1,0.9,0.9,0.0,4.5
Southern Local,11171991.41,Perry,"Corning, OH, 43730-9710",Ralph G. Holbert,F,18.6,14,8,5.7,12.5,3.4,0.0,0.0,20.5
United Local,11907224.59,Columbiana,"Hanoverton, OH, 44423-8618",Lance B. Hostetler,C,45.7,83,31,15.3,28.7,10.9,0.0,0.0,20.3
Ridgewood Local,12176196.28,Coshocton,"West Lafayette, OH, 43845-1339",Michael A. Masloski,D,26.6,55,0,13.0,20.8,3.9,0.0,0.0,0.0
River View Local,21490409.97,Coshocton,"Warsaw, OH, 43844-9714",Harry D. Summers,D,37.2,97,73,7.8,24.4,6.3,3.8,0.0,40.6
Buckeye Central Local,8032160.459999999,Crawford,"New Washington, OH, 44854-9521",Mark A. Robinson,D,34.6,44,0,15.7,27.6,5.5,0.0,0.0,0.0
Colonel Crawford Local,9066677.299999999,Crawford,"North Robinson, OH, 44827-9711",William T. Martin,C,46.6,60,36,13.2,31.6,6.6,0.0,0.0,36.8
Wynford Local,11592104.79,Crawford,"Bucyrus, OH, 44820-9463",Frederick M. Fox,D,29.7,43,17,6.8,18.5,6.2,0.0,0.0,19.8
Cuyahoga Heights Local,13343395.94,Cuyahoga,"Cuyahoga Heights, OH, 44125-1043",Thomas Evans,C,61.8,81,43,22.4,48.7,5.3,29.6,0.0,2.6
Independence Local,16196000.64,Cuyahoga,"Independence, OH, 44131-4813",Benjamin J. Hegedish,B,85.0,130,88,38.0,65.2,4.9,40.8,0.0,13.0
Olmsted Falls City,42976958.25,Cuyahoga,"Olmsted Falls, OH, 44138-0010",James L. Lloyd,C,65.9,324,201,24.2,44.9,11.3,32.9,0.0,25.4
Orange City,47643770.97,Cuyahoga,"Cleveland, OH, 44124-5922",Edwin S. Holland,B,82.6,219,159,45.2,66.6,0.6,50.2,0.0,3.4
Richmond Heights Local,12969425.43,Cuyahoga,"Richmond Heights, OH, 44143-1429",Renee T. Willis,F,22.7,28,15,9.1,12.6,4.2,0.7,0.0,14.7
Solon City,67098305.47,Cuyahoga,"Solon, OH, 44139-4133",Joseph V. Regano,B,89.3,629,511,53.9,69.2,1.5,60.4,0.0,8.8
Ansonia Local,8320840.17,Darke,"Ansonia, OH, 45303-0279",James R. Atchley,D,31.0,28,9,10.1,19.2,6.1,1.0,0.0,17.2
Arcanum-Butler Local,10064755.379999999,Darke,"Arcanum, OH, 45304-1381",Johnathan N. Stephens,D,35.1,48,45,9.7,21.1,5.7,0.0,0.0,56.6
Franklin Monroe Local,5878895.34,Darke,"Pitsburg, OH, 45358-0078",Jeffrey M. Patrick,D,44.6,46,34,7.9,28.6,8.7,0.0,0.0,70.6
Mississinawa Valley Local,7848881.22,Darke,"Union City, OH, 45390-8628",Douglas E. Dunham,D,25.0,19,15,14.9,12.8,2.1,0.0,0.0,33.0
Tri-Village Local,6792224.9799999995,Darke,"New Madison, OH, 45346-9797",Joshua M. Sagester,D,29.9,29,21,5.9,16.9,8.5,0.0,0.0,49.2
Ayersville Local,8300663.62,Defiance,"Defiance, OH, 43512-8851",Donald F. Diglia,C,49.1,55,31,21.4,38.9,2.3,13.0,0.0,19.1
Central Local,10540571.55,Defiance,"Sherwood, OH, 43556-9735",Vicki L. Brunn,C,46.4,72,46,4.9,29.2,10.3,0.0,0.0,34.6
Northeastern Local,11068010.17,Clark,"Springfield, OH, 45502-8826",John P. Kronour,D,39.7,213,102,17.1,26.2,6.2,1.3,0.0,22.0
Northeastern Local,11068010.17,Defiance,"Defiance, OH, 43512-9121",James C. Roach,D,43.3,59,27,26.5,31.6,1.9,17.4,0.0,1.9
Big Walnut Local,37056821.19,Delaware,"Sunbury, OH, 43074-9334",Angela S. Pollock,C,55.5,212,127,23.1,42.1,3.1,27.3,0.0,16.4
Buckeye Valley Local,23072744.46,Delaware,"Delaware, OH, 43015-9562",Andrew J. Miller,C,54.5,158,85,29.7,37.4,5.6,19.9,0.0,20.2
Olentangy Local,207924207.35999998,Delaware,"Lewis Center, OH, 43035-9078",Mark T. Raiff,B,77.0,1468,1227,38.4,55.4,0.7,57.9,0.0,5.4
Edison Local (formerly Berlin-Milan),15291881.79,Erie,"Milan, OH, 44846-9735",Thomas C. Roth,C,64.7,133,81,30.5,45.7,7.8,7.4,0.0,39.5
Kelleys Island Local,533176.4299999999,,,,,,,,,,,,,
Margaretta Local,14628601.81,Erie,"Castalia, OH, 44824-9263",Dennis R. Mock,D,29.6,50,12,13.3,17.1,6.1,0.0,0.0,13.3
Perkins Local,23246123.04,Erie,"Sandusky, OH, 44870-7232",Jodie Hausmann,D,40.2,134,69,14.5,25.5,7.0,9.9,0.0,18.4
Vermilion Local,20991110.15,Erie,"Vermilion, OH, 44089-1577",Philip M. Pempin,D,38.2,118,73,16.9,23.2,4.9,8.7,0.0,21.3
Amanda-Clearcreek Local,17249341.34,Fairfield,"Amanda, OH, 43102-9330",James B. Dick,D,31.9,75,24,10.1,22.9,5.8,4.3,0.0,14.0
Berne Union Local,10570303.12,Fairfield,"Sugar Grove, OH, 43155-0187",Richard R. Spindler,D,37.7,48,1,21.9,32.8,1.6,0.0,0.0,1.6
Bloom-Carroll Local,18495957.95,Fairfield,"Carroll, OH, 43112-9716",Shawn P. Haughn,D,42.7,106,78,13.9,32.0,2.6,24.4,0.0,38.6
Fairfield Union Local,20122024.61,Fairfield,"Lancaster, OH, 43130-9323",Jon C. Belville,D,33.3,93,49,9.9,25.1,2.2,1.9,0.0,28.8
Liberty Union-Thurston Local,13623277.32,Fairfield,"Baltimore, OH, 43105-9700",Todd S. Osborn,D,38.2,80,12,24.7,27.9,1.4,5.0,0.0,0.9
Pickerington Local,112321805.42,Fairfield,"Pickerington, OH, 43147-1061",Chris M. Briggs,C,49.4,671,436,24.5,36.9,1.1,25.6,0.0,17.0
Walnut Township Local,5898877.41,Fairfield,"Millersport, OH, 43046",Randall J. Cotner,D,25.6,24,1,13.7,12.6,6.3,1.1,0.0,0.0
Miami Trace Local,26810441.75,Fayette,"Washington Court House, OH, 43160-9184",David L. Lewis,D,32.8,94,64,9.6,24.9,2.0,2.9,0.0,21.4
Canal Winchester Local,39309232.56,Franklin,"Canal Winchester, OH, 43110-1224",James Sotlar,D,41.6,200,101,23.0,28.8,2.9,16.1,0.0,8.3
Hamilton Local,28778713.46,Franklin,"Columbus, OH, 43207-4737",William J. Morrison,F,23.8,87,35,7.1,17.8,3.4,10.8,0.0,2.7
Gahanna-Jefferson City,86813143.84,Franklin,"Gahanna, OH, 43230-2919",Stephen G. Barrett,D,44.6,414,288,20.8,34.7,0.8,25.8,0.0,8.7
Groveport Madison Local,66555206.47,Franklin,"Groveport, OH, 43125-2009",Bruce A. Hoover,F,23.0,143,46,4.7,14.6,6.3,4.1,0.0,6.6
New Albany-Plain Local,55056240.19,Franklin,"New Albany, OH, 43054-7099",Michael L. Sawyers,B,83.9,421,373,45.4,64.4,0.5,54.2,0.0,46.0
Reynoldsburg City,66087728.269999996,Franklin,"Reynoldsburg, OH, 43068-2014",Melvin Brown,D,32.0,217,166,14.3,18.4,3.0,9.5,0.0,37.8
Hilliard City,183974260.75,Franklin,"Columbus, OH, 43228-9647",John C. Marschhausen,C,57.3,1198,626,32.1,45.7,1.4,24.3,0.0,10.8
Dublin City,194985705.58999997,Franklin,"Dublin, OH, 43017-1068",Todd F. Hoadley,B,84.6,1581,1277,39.6,67.0,0.3,52.6,26.2,0.1
