District,OperatingExpenditures,County,Address,"City, State, Zip",Superintendent,K3 Literacy Grade,K3 Literacy Percent,Total Students Off Track Point A,Total Students Moved to On Track Point B,RIMP Deductions,Current Year % of Kindergarteners Not on Track,Students Off Track Year 1,Students Moved to On Track Year 1,Students Off Track Year 2,Students Moved to On Track Year 2,Students off Track Year 3,Students Moved to On Track Year 3,Students Off Track  Year 4,Students Moved to On Track Year 4,% of 3rd Graders Meeting 3rd Grade Reading Guarantee
Stow-Munroe Falls City School District,57142899.72,Summit,4350 Allen Rd,"Stow, OH, 44224-1032",Thomas P. Bratten,C,24.1,228,55,42,34.2,24,20,60,26,76,35,68,16,96.4
Strongsville City,68113829.0,Cuyahoga,18199 Cook Ave,"Strongsville, OH, 44136-5216",Cameron M. Ryba,C,38.7,253,98,NC,31.8,59,32,33,13,57,15,104,38,98.5
Struthers City,20118842.39,Mahoning,99 Euclid Ave,"Struthers, OH, 44471-1831",Peter J. Pirone,B,53.0,66,35,NC,76.2,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Sycamore Community City,73491992.02,Hamilton,5959 Hagewa Dr,"Blue Ash, OH, 45242-6240",Frank A. Forsthoefel,C,45.9,146,67,NC,14.3,35,16,32,15,47,28,32,10,98.1
Sylvania Schools,85077476.10000001,Lucas,4747 N Holland Sylvania Rd,"Sylvania, OH, 43560-2116",Adam D. Fineske,C,41.3,450,186,10,22.2,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Tallmadge City,27105904.9,Summit,486 East Ave,"Tallmadge, OH, 44278-2000",Jeffrey M. Ferguson,C,32.7,104,34,NC,11.9,NC,NC,NC,NC,NC,NC,NC,NC,97.6
Tiffin City,21384484.77,Seneca,244 S Monroe St,"Tiffin, OH, 44883-2906",Gary A. Barber,C,34.8,264,92,20,46.4,72,29,63,30,69,23,60,30,99.5
Toledo City,309748363.38,Lucas,1609 N Summit St,"Toledo, OH, 43604-1806",Romules L. Durant,D,20.5,4360,894,NC,74.8,1169,309,989,158,912,49,1290,379,86.4
Toronto City,7867544.6899999995,Jefferson,1307 Dennis Way,"Toronto, OH, 43964-1952",Maureen R. Taggart,D,14.3,14,2,NC,100.0,NC,NC,NC,NC,NC,NC,NC,NC,72.7
Troy City,44669107.11,Miami,500 N Market St,"Troy, OH, 45373-1418",Eric J. Herman,C,41.0,161,66,NC,12.5,49,30,36,15,30,10,46,11,99.0
Upper Arlington City,86780285.41,Franklin,1950 N Mallway Dr,"Upper Arlington, OH, 43221-4398",Paul W. Imhoff,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Urbana City,22479231.64,Champaign,711 Wood St,"Urbana, OH, 43078-1498",Charles B. Thiel,C,32.5,126,41,16,47.4,NC,NC,NC,NC,NC,NC,NC,NC,83.6
Vandalia-Butler City,30783642.159999996,Montgomery,500 S Dixie Dr,"Vandalia, OH, 45377-2128",Robert M. O'Leary,B,49.4,237,117,NC,21.7,NC,NC,NC,NC,NC,NC,NC,NC,96.9
Van Wert City,21569658.35,Van Wert,205 W Crawford St,"Van Wert, OH, 45891-1903",Staci A. Kaufman,A,78.1,96,75,NC,22.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Wadsworth City,43193824.43,Medina,524 Broad St,"Wadsworth, OH, 44281-2306",Andrew J. Hill,C,43.5,230,100,NC,22.6,62,25,35,21,64,22,69,39,99.7
Wapakoneta City,25004203.19,Auglaize,1102 Gardenia Dr,"Wapakoneta, OH, 45895-1063",Keith W. Horner,D,23.3,210,49,45,31.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Warren City,65573706.68000001,Trumbull,105 High Street,"Warren, OH, 44481",Stephen G. Chiaro,C,42.9,317,136,NC,54.6,NC,NC,NC,NC,NC,NC,NC,NC,87.6
Warrensville Heights City,28024188.57,Cuyahoga,4500 Warrensville Center Rd,"Warrensville Heights, OH, 44128-4134",Donald J. Jolly,C,37.6,173,65,NC,41.2,NC,NC,NC,NC,NC,NC,NC,NC,89.3
Washington Court House City,19911188.439999998,Fayette,306 Highland Ave,"Washington Court Hou, OH, 43160-1819",Thomas S. Bailey,C,28.5,207,59,NC,19.9,NC,NC,NC,NC,NC,NC,NC,NC,96.6
Wellston City,18764504.12,Jackson,1 E Broadway St,"Wellston, OH, 45692-1225",Karen P. Boch,C,37.4,187,70,NC,18.6,NC,NC,NC,NC,NC,NC,NC,NC,97.8
Wellsville Local,9521116.07,Columbiana,929 Center St,"Wellsville, OH, 43968-1423",Richard E. Bereschik,B,52.2,23,12,NC,36.7,NC,NC,NC,NC,NC,NC,NC,NC,97.8
Westerville City,159467351.9,Franklin,936 Eastwind Dr Ste 200,"Westerville, OH, 43081-3319",John R. Kellogg,C,33.1,744,246,125,17.7,123,62,124,54,336,219,161,36,98.4
West Carrollton City,42750311.45,Montgomery,430 E Pease Ave,"West Carrollton, OH, 45449-1357",Andrea Townsend,D,21.8,380,83,29,56.9,NC,NC,NC,NC,NC,NC,NC,NC,88.6
Westlake City,49153920.05,Cuyahoga,24525 Hilliard Blvd,"Westlake, OH, 44145-3518",Scott E. Goggin,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Whitehall City,37059117.72,Franklin,625 S Yearling Rd,"Whitehall, OH, 43213-2861",Brian D. Hamler,C,29.5,491,145,NC,38.4,126,64,113,30,96,12,156,39,86.0
Wickliffe City,18894909.2,Lake,2221 Rockefeller Rd,"Wickliffe, OH, 44092-2020",Joseph G. Spiccia,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Willard City,17596451.07,Huron,110 S Myrtle Ave,"Willard, OH, 44890-1425",Jeffery R. Ritz,C,30.5,177,54,NC,34.7,NC,NC,NC,NC,NC,NC,NC,NC,87.3
Willoughby-Eastlake City,90930675.19,Lake,37047 Ridge Rd,"Willoughby, OH, 44094-4130",Stephen L. Thompson,C,42.8,416,178,NC,29.6,136,81,48,18,97,38,135,41,99.1
Wilmington City,25552789.61,Clinton,341 S Nelson Ave,"Wilmington, OH, 45177-2034",Melinda A. Mccarty-Stewart,B,53.9,141,76,11,21.1,NC,NC,NC,NC,NC,NC,NC,NC,87.2
Wooster City,40050147.68,Wayne,144 N Market St,"Wooster, OH, 44691-4810",Michael L. Tefs,D,22.9,484,111,NC,25.6,NC,NC,NC,NC,NC,NC,NC,NC,94.5
Worthington City,127956685.28,Franklin,200 E Wilson Bridge Rd,"Worthington, OH, 43085-2332",Trent H. Bowers,C,43.1,598,258,NC,15.3,72,39,94,55,202,57,230,107,98.8
Wyoming City,25506628.76,Hamilton,420 Springfield Pike,"Wyoming, OH, 45215-4298",Susan K. Lang,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Xenia Community City,47180181.11,Greene,819 Colorado Dr,"Xenia, OH, 45385-4859",Christy L. Fielding,C,42.7,356,152,NC,17.7,70,38,78,20,139,79,69,15,95.8
Youngstown City,92708071.37,Mahoning,PO Box 550,"Youngstown, OH, 44501-0550",Joseph S. Meranto,B,57.7,381,220,NC,74.8,NC,NC,NC,NC,NC,NC,NC,NC,82.5
Zanesville City,40468716.32,Muskingum,956 Moxahala Ave,"Zanesville, OH, 43701-5533",Charles D. Baker,D,22.7,410,93,15,59.9,100,22,123,29,86,21,101,36,99.0
Ada Exempted Village,8611488.35,Hardin,725 W North Ave,"Ada, OH, 45810-1176",Meri C. Skilliter,B,71.8,78,56,NC,27.8,NC,NC,NC,NC,NC,NC,NC,NC,95.7
Amherst Exempted Village,36131426.05,Lorain,185 Forest St,"Amherst, OH, 44001-1605",Steven A. Sayers,NR,NC,NC,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,99.2
Barnesville Exempted Village,12769652.32,Belmont,210 W Church St,"Barnesville, OH, 43713-1069",Angela J. Hannahs,C,45.8,131,60,NC,50.9,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Bluffton Exempted Village,9997176.33,Allen,102 S Jackson St,"Bluffton, OH, 45817-1218",Gregory J. Denecker,B,58.9,73,43,NC,35.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Bradford Exempted Village,5771113.27,Miami,760 Railroad Ave,"Bradford, OH, 45308-8605",Joseph E. Hurst,D,22.2,72,16,NC,85.0,NC,NC,NC,NC,NC,NC,NC,NC,97.1
Bridgeport Exempted Village,7875401.630000001,Belmont,55781 National Rd,"Bridgeport, OH, 43912-1528",Zachary E. Shutler,A,76.9,26,20,NC,5.7,NC,NC,NC,NC,NC,NC,NC,NC,92.3
Harrison Hills City,16429792.059999999,Harrison,730 Peppard Ave,"Cadiz, OH, 43907-1067",Dana L. Snider,C,41.0,61,25,NC,31.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Caldwell Exempted Village,9078127.05,Noble,516 Fairground St,"Caldwell, OH, 43724-1175",Kacey R. Cottrill,C,29.5,61,18,NC,43.2,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Carey Exempted Village Schools,8745306.51,Wyandot,2016 Blue Devil Drive,"Carey, OH, 43316-1282",Michael A. Wank,C,28.8,52,15,NC,15.9,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Carrollton Exempted Village,21591214.92,Carroll,252 3rd St NE,"Carrollton, OH, 44615-1236",David P. Quattrochi,C,47.1,208,98,NC,8.0,48,25,71,28,48,19,41,27,99.2
Chagrin Falls Exempted Village,26816036.26,Cuyahoga,400 E Washington St,"Chagrin Falls, OH, 44022-2924",Robert W. Hunt,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Chesapeake Union Exempted Village,12640231.969999999,Lawrence,10183 County Road 1,"Chesapeake, OH, 45619-7032",Jerry L. McConnell,B,58.4,113,66,NC,16.5,NC,NC,NC,NC,NC,NC,NC,NC,97.8
Clyde-Green Springs Exempted Village,21473355.1,Sandusky,106 S Main St,"Clyde, OH, 43410-1633",Dennis M. Haft,C,39.2,130,51,17,35.7,NC,NC,NC,NC,NC,NC,NC,NC,99.3
Coldwater Exempted Village,13819483.07,Mercer,310 N 2nd St,"Coldwater, OH, 45828-1242",Jason E. Wood,C,31.6,76,24,NC,51.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Columbiana Exempted Village,9642834.84,Columbiana,700 Columbiana Waterford Rd,"Columbiana, OH, 44408-9499",Donald J. Mook,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Covington Exempted Village,8774730.28,Miami,807 Chestnut St,"Covington, OH, 45318-1760",CHARLES E. GOODING,A,77.3,22,17,NC,28.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Crestline Exempted Village,7510934.4,Crawford,401 Heiser Ct,"Crestline, OH, 44827-1360",Noreen L. Mullens,C,40.0,20,8,NC,14.6,NC,NC,NC,NC,NC,NC,NC,NC,92.5
Crooksville Exempted Village,12156796.68,Perry,4065 Ceramic Way,"Crooksville, OH, 43731-1013",Matthew L. Sheridan,C,33.1,133,44,NC,50.7,NC,NC,NC,NC,NC,NC,NC,NC,89.6
Fairport Harbor Exempted Village,7314863.92,Lake,329 Vine St,"Fairport Harbor, OH, 44077-5741",Domenic A. Paolo,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,95.6
Georgetown Exempted Village,9838482.52,Brown,1043 Mount Orab Pike,"Georgetown, OH, 45121-8440",Christopher J. Burrows,C,29.0,62,18,NC,24.7,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Gibsonburg Exempted Village,9108646.87,Sandusky,301 S Sunset Ave,"Gibsonburg, OH, 43431-1264",Timothy W. Murray,C,28.2,78,22,11,100.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Granville Exempted Village,30669782.759999998,Licking,PO Box 417,"Granville, OH, 43023-0417",Jeffrey R. Brown,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Greenfield Exempted Village,22892189.95,Highland,200 N 5th St,"Greenfield, OH, 45123-1373",James J. Wills,C,44.2,181,80,NC,11.2,NC,NC,NC,NC,NC,NC,NC,NC,99.2
Hicksville Exempted Village,10213400.33,Defiance,958 E High St,"Hicksville, OH, 43526-1258",Keith L. Countryman,B,72.6,106,77,NC,48.9,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Hubbard Exempted Village,17628835.5,Trumbull,108 Orchard Ave,"Hubbard, OH, 44425-1724",Raymond W. Soloman,C,44.8,67,30,NC,27.8,NC,NC,NC,NC,NC,NC,NC,NC,97.7
Indian Hill Exempted Village,33852866.73,Hamilton,6855 Drake Rd,"Cincinnati, OH, 45243-2737",Mark T. Miles,B,64.8,54,35,NC,7.9,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Leetonia Exempted Village,7644059.16,Columbiana,450 Walnut St,"Leetonia, OH, 44431-1075",Robert A. Mehno,C,31.0,58,18,NC,97.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Lisbon Exempted Village,8896988.559999999,Columbiana,317 N Market St,"Lisbon, OH, 44432-1145",Joseph E. Siefke,C,26.9,52,14,NC,22.5,NC,NC,NC,NC,NC,NC,NC,NC,96.6
Loudonville-Perrysville Exempted Village,12107931.99,Ashland,210 E Main St,"Loudonville, OH, 44842-1245",Catherine M. Puster,B,54.1,37,20,NC,9.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Marysville Exempted Village,50102900.72,Union,1000 Edgewood Dr,"Marysville, OH, 43040-2105",Diane M. Mankins,C,48.8,285,139,NC,32.4,NC,NC,NC,NC,NC,NC,NC,NC,94.2
Mechanicsburg Exempted Village,7856087.74,Champaign,60 High St,"Mechanicsburg, OH, 43044-1071",Danielle M. Prohaska,C,48.4,91,44,NC,9.4,NC,NC,NC,NC,NC,NC,NC,NC,98.4
Mentor Exempted Village,95728079.41,Lake,6451 Center St,"Mentor, OH, 44060-4109",William M. Porter,C,34.7,170,59,NC,28.9,NC,NC,NC,NC,NC,NC,NC,NC,99.8
Milford Exempted Village,64682973.28,Clermont,777 Garfield Ave,"Milford, OH, 45150-1607",Nancy C. House,C,38.6,197,76,33,15.3,75,59,30,16,31,11,61,23,100.0
Milton-Union Exempted Village,13530543.51,Miami,7610 Milton Potsdam Rd,"West Milton, OH, 45383-9602",Brad M. Ritchey,C,48.5,167,81,NC,100.0,NC,NC,NC,NC,NC,NC,NC,NC,93.8
Montpelier Exempted Village,9813529.18,Williams,PO Box 193,"Montpelier, OH, 43543-0193",Jamison J. Grime,C,42.9,63,27,NC,35.3,NC,NC,NC,NC,NC,NC,NC,NC,95.9
Mount Gilead Exempted Village,12351178.44,Morrow,145 N Cherry St,"Mount Gilead, OH, 43338-1266",Jeffrey D. Thompson,D,21.5,135,29,NC,33.3,NC,NC,NC,NC,NC,NC,NC,NC,96.7
Newcomerstown Exempted Village,11971580.39,Tuscarawas,702 S River St,"Newcomerstown, OH, 43832-1450",Jeffery S. Staggs,B,52.3,44,23,NC,18.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
New Richmond Exempted Village,25417315.11,Clermont,212 Market St Fl 3RD,"New Richmond, OH, 45157-1373",Adam C. Bird,C,45.1,142,64,NC,26.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Newton Falls Exempted Village,10743849.85,Trumbull,909 1/2 Milton Blvd,"Newton Falls, OH, 44444-9707",Paul J. Woodard,A,76.2,21,16,NC,35.1,NC,NC,NC,NC,NC,NC,NC,NC,95.0
Paulding Exempted Village,15799933.420000002,Paulding,405 N Water St,"Paulding, OH, 45879-1251",Kenneth D. Amstutz,C,32.4,71,23,14,16.8,NC,NC,NC,NC,NC,NC,NC,NC,85.8
Perrysburg Exempted Village,51289758.58,Wood,140 E Indiana Ave,"Perrysburg, OH, 43551-2261",Thomas L. Hosler,NR,NC,NC,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,99.7
Rittman Exempted Village,9909259.74,Wayne,100 Saurer St,"Rittman, OH, 44270-1259",James J. Ritchie,C,27.7,101,28,NC,35.8,NC,NC,NC,NC,NC,NC,NC,NC,98.5
Rossford Exempted Village,21216095.85,Wood,401 Glenwood Rd,"Rossford, OH, 43460-1317",Daniel Creps,C,37.6,101,38,NC,32.4,NC,NC,NC,NC,NC,NC,NC,NC,97.8
Tipp City Exempted Village,22644741.06,Miami,90 S Tippecanoe Dr,"Tipp City, OH, 45371-1139",Gretta H. Kumpf,B,50.3,143,72,NC,21.7,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Upper Sandusky Exempted Village,16674926.15,Wyandot,800 N Sandusky Ave,"Upper Sandusky, OH, 43351-1032",Laurie C. Vent,C,44.4,99,44,NC,34.7,NC,NC,NC,NC,NC,NC,NC,NC,99.0
Versailles Exempted Village,12811160.399999999,Darke,PO Box 313,"Versailles, OH, 45380-0313",Aaron M. Moran,NR,NC,NC,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,99.1
Wauseon Exempted Village,17763614.29,Fulton,930 E Oak St,"Wauseon, OH, 43567-1350",Larry C. Brown,C,25.9,54,14,NC,42.9,NC,NC,NC,NC,NC,NC,NC,NC,98.6
Wellington Exempted Village,11802332.559999999,Lorain,305 Union St,"Wellington, OH, 44090-1072",Edward J. Weber,C,27.3,33,9,21,23.3,NC,NC,NC,NC,NC,NC,NC,NC,98.6
Windham Exempted Village,8341963.2700000005,Portage,9530 Bauer Ave,"Windham, OH, 44288-1004",Gregory C. Isler,C,44.4,18,8,NC,73.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Yellow Springs Exempted Village,8190648.710000001,Greene,201 S Walnut St,"Yellow Springs, OH, 45387-1805",Mario Basora,B,59.1,22,13,NC,27.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Allen East Local,9679050.23,Allen,9105 Harding Hwy,"Harrod, OH, 45850",Mel L. Rentschler,B,56.5,46,26,NC,6.4,NC,NC,NC,NC,NC,NC,NC,NC,97.2
Bath Local,15644494.059999999,Allen,2650 Bible Rd,"Lima, OH, 45801-2246",Richard D. Dackin,C,43.7,71,31,13,21.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Elida Local,20892191.23,Allen,4380 Sunnydale St,"Elida, OH, 45807-9593",Joel W. Mengerink,C,44.3,131,58,13,41.3,NC,NC,NC,NC,NC,NC,NC,NC,96.9
Perry Local,8460114.76,Allen,2770 E Breese Rd,"Lima, OH, 45806-9743",Alison R. Van Gorder,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,85.7
Perry Local,8460114.76,Lake,4325 Manchester Ave,"Perry, OH, 44081-9413",Jack K. Thompson,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,97.2
Perry Local,8460114.76,Stark,4201 13th St SW,"Massillon, OH, 44646-3447",Scott A. Beatty,B,49.5,321,159,NC,32.0,80,61,44,17,77,21,120,62,100.0
Shawnee Local,24377065.79,Allen,3255 Zurmehly Rd,"Lima, OH, 45806-1434",James D. Kanable,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Spencerville Local,9457309.96,Allen,2500 Wisher Dr,"Spencerville, OH, 45887-1293",Dennis A. Fuge,C,39.4,33,13,NC,17.9,NC,NC,NC,NC,NC,NC,NC,NC,97.3
Hillsdale Local,9678060.52,Ashland,485 Township Road 1902,"Jeromesville, OH, 44840-9754",Steven E. Dickerson,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,98.4
Mapleton Local,8196294.01,Ashland,635 County Road 801,"Ashland, OH, 44805-9571",Rodney G. Hopton,C,41.1,107,44,NC,41.8,NC,NC,NC,NC,NC,NC,NC,NC,95.5
Buckeye Local,16523238.2,Ashtabula,3436 Edgewood Dr,"Ashtabula, OH, 44004-5967",Patrick E. Colucci,C,39.7,194,77,NC,40.3,NC,NC,NC,NC,NC,NC,NC,NC,99.1
Buckeye Local,16523238.2,Jefferson,6899 State Highway 150,"Dillonvale, OH, 43917-7904",Kimberly D. Leonard,C,34.0,97,33,NC,44.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Buckeye Local,16523238.2,Medina,3044 Columbia Rd,"Medina, OH, 44256-9411",Kent J. Morgan,C,37.6,141,53,NC,24.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Grand Valley Local,12062597.68,Ashtabula,111 Grand Valley Ave West,"Orwell, OH, 44076-9420",William R. Nye,D,23.5,17,4,NC,34.7,NC,NC,NC,NC,NC,NC,NC,NC,90.5
Jefferson Area Local,13882130.91,Ashtabula,121 S Poplar St,"Jefferson, OH, 44047-1328",John C. Montanaro,C,31.4,51,16,NC,25.2,NC,NC,NC,NC,NC,NC,NC,NC,94.7
Pymatuning Valley Local,13354545.27,Ashtabula,PO Box 1180,"Andover, OH, 44003-1180",Michael A. Candela,C,46.7,75,35,NC,41.2,NC,NC,NC,NC,NC,NC,NC,NC,98.9
Alexander Local,15946950.690000001,Athens,6091 Ayers Rd,"Albany, OH, 45710-9492",Lindy L. Douglas,C,34.4,90,31,NC,33.3,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Federal Hocking Local,12677841.17,Athens,PO Box 117,"Stewart, OH, 45778-0117",George H. Wood,C,32.8,119,39,NC,30.0,NC,NC,NC,NC,NC,NC,NC,NC,76.7
Trimble Local,11351502.46,Athens,1 Tomcat Dr,"Glouster, OH, 45732-9335",Scott L. Christman,C,23.9,92,22,NC,69.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Minster Local,8199506.6899999995,Auglaize,50 E 7th St,"Minster, OH, 45865-1095",Brenda A. Boeke,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
New Bremen Local,8337537.99,Auglaize,901 E Monroe St,"New Bremen, OH, 45869-9685",Jason A. Schrader,C,46.2,13,6,NC,6.9,NC,NC,NC,NC,NC,NC,NC,NC,100.0
New Knoxville Local,4490945.51,Auglaize,345 S Main St,"New Knoxville, OH, 45871-0476",Kimberly S. Waterman,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Waynesfield-Goshen Local,6325682.8100000005,Auglaize,500 N Westminster St,"Waynesfield, OH, 45896-9448",J. Chris Pfister,C,31.4,35,11,NC,13.3,NC,NC,NC,NC,NC,NC,NC,NC,100.0
St Clairsville-Richland City,15229477.399999999,Belmont,108 Woodrow Ave,"Saint Clairsville, OH, 43950-1567",Walter E. Skaggs,C,33.3,66,22,NC,21.9,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Shadyside Local,6550784.37,Belmont,3890 Lincoln Ave,"Shadyside, OH, 43947-1319",John M. Haswell,C,31.4,35,11,NC,100.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Union Local,13926269.52,Belmont,66779 Belmont Morristown Rd,"Belmont, OH, 43718-9568",Robert B. Porter,C,44.0,116,51,NC,19.2,NC,NC,NC,NC,NC,NC,NC,NC,99.1
Eastern Local,13303896.850000001,Brown,11479 US Highway 62,"Winchester, OH, 45697-9690",Michele R. Filon,B,55.0,40,22,NC,24.1,NC,NC,NC,NC,NC,NC,NC,NC,94.1
Eastern Local,13303896.850000001,Meigs,50008 State Route 681,"Reedsville, OH, 45772-9022",Steven P. Ohlinger,A,80.6,31,25,NC,27.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Eastern Local,13303896.850000001,Pike,1170 Tile Mill Rd,"Beaver, OH, 45613-9435",Neil E. Leist,C,30.6,36,11,NC,5.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Fayetteville-Perry Local,7981026.82,Brown,551 S Apple St,"Fayetteville, OH, 45118-8461",James J. Brady,F,-7.1,28,0,NC,47.8,NC,NC,NC,NC,NC,NC,NC,NC,98.4
Western Brown Local,26852820.22,Brown,524 W Main St,"Mount Orab, OH, 45154-8262",Raegan L. White,D,21.2,339,72,13,42.3,NC,NC,NC,NC,NC,NC,NC,NC,98.5
Ripley-Union-Lewis-Huntington Local,9711928.51,Brown,PO Box 85,"Ripley, OH, 45167-0085",James L. Wilkins II,C,28.7,108,31,NC,100.0,NC,NC,NC,NC,NC,NC,NC,NC,89.7
Edgewood City,35544299.22,Butler,3440 Busenbark Rd,"Trenton, OH, 45067-7612",Simon R. Fussnecker Jr,C,47.6,372,177,19,44.4,87,66,100,49,113,49,72,32,98.3
Fairfield City,81140854.28,Butler,4641 Bach Ln,"Fairfield, OH, 45014-1900",Billy J. Smith,C,38.6,694,268,47,13.6,196,140,96,31,240,115,162,29,99.2
Lakota Local,163436569.07,Butler,5572 Princeton Rd,"Liberty Township, OH, 45011-9726",Matthew J. Miller,B,53.8,770,414,NC,10.2,143,98,172,71,318,209,137,36,95.8
Lakota Local,163436569.07,Sandusky,5200 County Road 13,"Kansas, OH, 44841-9617",Chad D. Coffman,D,16.4,226,37,13,100.0,NC,NC,NC,NC,NC,NC,NC,NC,98.9
Madison Local,14443828.69,Butler,1324 Middletown Eaton Rd,"Middletown, OH, 45042-1525",Charles C. Philpot,C,39.8,93,37,NC,39.2,NC,NC,NC,NC,NC,NC,NC,NC,96.2
Madison Local,14443828.69,Lake,1956 Red Bird Rd,"Madison, OH, 44057-2122",Angela M. Smith,C,42.9,156,67,NC,40.7,NC,NC,NC,NC,NC,NC,NC,NC,91.2
Madison Local,14443828.69,Richland,1379 Grace St,"Mansfield, OH, 44905-2742",Shelley L. Hilderbrand,B,59.4,138,82,NC,55.1,NC,NC,NC,NC,NC,NC,NC,NC,87.4
New Miami Local,9156774.290000001,Butler,600 Seven Mile Ave,"Hamilton, OH, 45011-5748",Rhonda J. Parker,D,16.4,73,12,NC,70.7,NC,NC,NC,NC,NC,NC,NC,NC,88.9
Ross Local,24021363.59,Butler,3371 Hamilton Cleves Rd,"Hamilton, OH, 45013-9535",Scott M. Gates,B,49.3,134,66,NC,11.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Talawanda City,34030554.22,Butler,131 W Chestnut St,"Oxford, OH, 45056-2619",Kelly L. Spivey,B,64.2,190,122,NC,63.0,74,58,22,14,43,20,51,30,98.6
Brown Local,6577502.84,Carroll,3242 Coral Rd NW,"Malvern, OH, 44644-9467",Scott M. Bowling,B,72.3,47,34,NC,23.0,NC,NC,NC,NC,NC,NC,NC,NC,97.8
Graham Local,17276351.82,Champaign,7790 US Highway 36,"Saint Paris, OH, 43072-9496",Kirk Koennecke,C,28.9,142,41,15,22.6,NC,NC,NC,NC,NC,NC,NC,NC,99.1
Triad Local,8215554.710000001,Champaign,7920 Brush Lake Rd,"North Lewisburg, OH, 43060-9617",Christopher M. Piper,C,32.6,86,28,NC,36.2,NC,NC,NC,NC,NC,NC,NC,NC,93.4
West Liberty-Salem Local,12820074.39,Champaign,7208 US Highway 68 N,"West Liberty, OH, 43357-9663",Kraig E. Hissong,B,57.1,42,24,NC,21.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Greenon Local,14734048.67,Clark,500 Enon Xenia Pike,"Enon, OH, 45323-1759",Bradley K. Silvus,C,26.7,90,24,NC,25.2,NC,NC,NC,NC,NC,NC,NC,NC,94.9
Tecumseh Local,29689654.43,Clark,9760 W National Rd,"New Carlisle, OH, 45344-9290",Norm W. Glismann,D,10.4,154,16,37,24.6,NC,NC,NC,NC,NC,NC,NC,NC,97.9
Northeastern Local,29984145.08,Clark,1414 Bowman Rd,"Springfield, OH, 45502-8826",John P. Kronour,C,41.0,205,84,NC,43.4,64,40,35,11,44,15,62,18,96.7
Northeastern Local,29984145.08,Defiance,5921 Domersville Rd,"Defiance, OH, 43512-9121",James C. Roach,C,30.1,73,22,NC,65.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
